date,mins_on_social_media
08/15/2020,163
08/16/2020,170
08/17/2020,160
08/18/2020,112
08/19/2020,110
08/20/2020,115
08/21/2020,191
08/22/2020,170
08/23/2020,177
08/24/2020,161
08/25/2020,110
08/26/2020,120
08/27/2020,200
08/28/2020,170
08/29/2020,150
08/30/2020,155
08/31/2020,170
09/01/2020,100
09/02/2020,97
09/03/2020,120
09/04/2020,177
09/05/2020,167
09/06/2020,176
09/07/2020,154
09/08/2020,121
09/09/2020,123
09/10/2020,100
09/11/2020,188
09/12/2020,150
09/13/2020,171
09/14/2020,168
09/15/2020,120
09/16/2020,104
09/17/2020,109
09/18/2020,153
09/19/2020,163
09/20/2020,170
09/21/2020,160
09/22/2020,112
09/23/2020,110
09/24/2020,116
09/25/2020,190
09/26/2020,179
09/27/2020,182
09/28/2020,132
09/29/2020,120
09/30/2020,109
10/01/2020,135
10/02/2020,221
10/03/2020,120
10/04/2020,135
