date,steps,exercise_min ,sleep_min,day
08/15/2020,4321,45,462,saturday
08/16/2020,3452,44,442,sunday
08/17/2020,2109,25,380,monday
08/18/2020,1435,1,412,tuesday
08/19/2020,1236,2,352,wednesday
08/20/2020,1682,1,440,thursday
08/21/2020,3569,42,452,friday
08/22/2020,4672,45,472,saturday
08/23/2020,3768,50,451,sunday
08/24/2020,2456,31,401,monday
08/25/2020,1231,3,377,tuesday
08/26/2020,1468,2,389,wednesday
08/27/2020,1352,3,456,thursday
08/28/2020,3612,38,490,friday
08/29/2020,4681,52,452,saturday
08/30/2020,3892,50,438,sunday
08/31/2020,2316,23,380,monday
09/01/2020,1327,1,408,tuesday
09/02/2020,1198,5,367,wednesday
09/03/2020,1426,2,432,thursday
09/04/2020,3111,37,423,friday
09/05/2020,4121,45,478,saturday
09/06/2020,3147,35,458,sunday
09/07/2020,2218,30,392,monday
09/08/2020,1582,5,421,tuesday
09/09/2020,1328,1,351,wednesday
09/10/2020,1732,10,445,thursday
09/11/2020,2127,24,461,friday
09/12/2020,3964,50,490,saturday
09/13/2020,3278,40,432,sunday
09/14/2020,2417,23,398,monday
09/15/2020,1734,5,402,tuesday
09/16/2020,1532,3,323,wednesday
09/17/2020,1324,1,413,thursday
09/18/2020,2945,42,419,friday
09/19/2020,3672,40,449,saturday
09/20/2020,3245,40,461,sunday
09/21/2020,1768,25,364,monday
09/22/2020,1462,3,400,tuesday
09/23/2020,1257,2,398,wednesday
09/24/2020,1701,5,437,thursday
09/25/2020,3659,40,452,friday
09/26/2020,4002,50,455,saturday
09/27/2020,2908,37,443,sunday
09/28/2020,2091,26,382,monday
09/29/2020,1309,3,410,tuesday
09/30/2020,1437,3,368,wednesday
10/01/2020,1782,5,456,thursday
10/02/2020,3008,41,476,friday
10/03/2020,4560,50,460,saturday
10/04/2020,3201,42,498,sunday
